Name,Specialty,City,Clinic,Phone,Fee,Rating
Jad Khoury,Ophthalmology,Beirut,AUB Medical Center,+9618676630,1173,4.6
Tala Haddad,Pediatrics,Beirut,AUB Medical Center,+9617810142,896,4.4
Jad Maalouf,Pediatrics,Beirut,Saint George Hospital,+9618582389,223,3.1
Rami Saliba,Urology,Beirut,Bellevue Medical Center,+9617281439,134,3.2
Layla Maalouf,Neurosurgery,Beirut,Bellevue Medical Center,+9618415854,1006,4.2
Samir Nassar,ENT,Beirut,Mount Lebanon Hospital,+9614899119,1364,3.4
Tala Awad,Pediatrics,Beirut,Rafic Hariri Hospital,+9618193524,687,4.8
Tala Bou Khalil,Gastroenterology,Beirut,Keserwan Medical Center,+9613866322,1468,3.0
Jad Maalouf,Neurosurgery,Beirut,Saint George Hospital,+9613276744,1425,4.3
Hassan Awad,Pediatrics,Beirut,Bellevue Medical Center,+9615109685,392,3.1
Samir Mansour,Cardiology,Beirut,Najjar Hospital,+9618241869,879,4.8
Elie Bou Khalil,Neurosurgery,Beirut,Bellevue Medical Center,+9616793698,401,4.8
Jad Saliba,Internal Medicine,Beirut,Keserwan Medical Center,+9613489307,437,3.3
Elie Feghali,Dermatology,Beirut,LAU Medical Center,+9616033459,667,4.1
Elie Saad,Urology,Beirut,Najjar Hospital,+9618276063,328,3.7
Samir Nassar,Urology,Beirut,AUB Medical Center,+9616116156,1834,3.0
Jad Nassar,Dermatology,Beirut,LAU Medical Center,+9614847201,232,4.1
Marc Feghali,Gastroenterology,Beirut,AUB Medical Center,+9617570504,505,4.6
Nour Saad,Pulmonology,Beirut,Keserwan Medical Center,+9617618063,1904,4.3
Rami Haddad,Gastroenterology,Beirut,Keserwan Medical Center,+9614705174,1933,3.0
Layla Awad,Dermatology,Beirut,Bellevue Medical Center,+9615498812,720,4.3
Layla Mansour,Orthopedics,Beirut,Saint George Hospital,+9614040579,641,3.1
Elie Mansour,Orthopedics,Beirut,AUB Medical Center,+9618507751,88,3.2
Rana Awad,ENT,Beirut,Keserwan Medical Center,+9618532381,397,3.3
Tala Mansour,ENT,Beirut,Saint George Hospital,+9618665458,1077,4.9
Layla Mansour,Neurosurgery,Beirut,Saint George Hospital,+9613218906,727,3.9
Layla Feghali,Dermatology,Beirut,Saint George Hospital,+9617345908,1700,3.6
Jad Awad,Internal Medicine,Beirut,Rafic Hariri Hospital,+9615133175,243,4.1
Elie Maalouf,Gastroenterology,Beirut,Bellevue Medical Center,+9615928781,136,4.5
Layla Saliba,Gastroenterology,Beirut,LAU Medical Center,+9613766396,679,3.3
Rami Khoury,Neurosurgery,Beirut,Bellevue Medical Center,+9616260042,860,3.8
Layla Bou Khalil,Pediatrics,Beirut,Mount Lebanon Hospital,+9614675261,1411,3.3
Elie Saliba,Neurosurgery,Beirut,Rafic Hariri Hospital,+9616941705,1012,3.8
Karim Mansour,Dermatology,Beirut,AUB Medical Center,+9614662942,822,3.3
Tala Bou Khalil,Urology,Beirut,Rafic Hariri Hospital,+9616273390,178,3.7
Jad Khoury,Pediatrics,Beirut,Mount Lebanon Hospital,+9616588172,594,4.3
Layla Maalouf,Gastroenterology,Beirut,Rafic Hariri Hospital,+9615228919,559,4.4
Tala Abou Jaoude,Gastroenterology,Beirut,Rafic Hariri Hospital,+9616993696,265,4.8
Karim Saliba,Internal Medicine,Beirut,Rafic Hariri Hospital,+9615735632,1932,4.5
Jad Feghali,Orthopedics,Beirut,Rafic Hariri Hospital,+9617735678,1898,3.2
Elie Zein,General Surgery,Beirut,AUB Medical Center,+9613916346,1663,4.1
Elie Haddad,Cardiology,Beirut,Bellevue Medical Center,+9617502620,917,4.6
Elie Maalouf,Gastroenterology,Beirut,AUB Medical Center,+9616947107,327,3.9
Maya Saliba,Urology,Beirut,LAU Medical Center,+9613982612,282,3.7
Karim Feghali,Dermatology,Beirut,Rafic Hariri Hospital,+9614661385,1560,3.5
Hassan Khoury,Cardiology,Beirut,Najjar Hospital,+9613433604,714,4.8
Maya Awad,Cardiology,Beirut,Saint George Hospital,+9613176976,249,3.5
Samir Feghali,ENT,Beirut,Keserwan Medical Center,+9616887557,1528,4.2
Rana Haddad,Gastroenterology,Beirut,Rafic Hariri Hospital,+9617502869,1593,3.2
Rami Saad,Pediatrics,Beirut,Rafic Hariri Hospital,+9615176397,167,3.6
Maya Zein,Gastroenterology,Baalbek,Keserwan Medical Center,+9615545983,1963,4.8
Hassan Khoury,Orthopedics,Aley,Rafic Hariri Hospital,+9618682210,208,4.4
Layla Saad,General Surgery,Tripoli,Saint George Hospital,+9616580905,1617,3.5
Karim Haddad,Pulmonology,Zahle,Najjar Hospital,+9615367757,813,3.3
Tala Awad,Ophthalmology,Byblos,Bellevue Medical Center,+9616317437,968,4.9
Layla Saad,Cardiology,Baalbek,Najjar Hospital,+9617745614,141,3.5
Layla Feghali,Internal Medicine,Baalbek,Mount Lebanon Hospital,+9618890229,180,3.9
Hassan Feghali,Ophthalmology,Baabda,Keserwan Medical Center,+9613049415,1647,3.0
Jad Bou Khalil,Orthopedics,Saida,Keserwan Medical Center,+9618777713,116,3.9
Tala Feghali,Urology,Batroun,Mount Lebanon Hospital,+9617590691,917,3.7
Marc Bou Khalil,General Surgery,Nabatieh,LAU Medical Center,+9615303185,1262,4.4
Rana Zein,Cardiology,Saida,Keserwan Medical Center,+9617882013,314,4.7
Hassan Mansour,Pediatrics,Tyre,Mount Lebanon Hospital,+9617192667,494,3.2
Rami Maalouf,General Surgery,Nabatieh,Rafic Hariri Hospital,+9615647940,491,4.5
Samir Khoury,General Surgery,Batroun,Keserwan Medical Center,+9618536177,916,3.9
Nour Khoury,General Surgery,Saida,Najjar Hospital,+9618938591,446,4.7
Tala Saliba,Pulmonology,Zahle,Keserwan Medical Center,+9616048893,629,4.8
Nour Saad,Pediatrics,Aley,LAU Medical Center,+9618001324,979,4.6
Marc Maalouf,ENT,Zahle,Keserwan Medical Center,+9614334312,111,3.8
Rami Haddad,Ophthalmology,Baabda,Bellevue Medical Center,+9614054750,1148,5.0
Karim Haddad,Neurosurgery,Tyre,Saint George Hospital,+9617420773,1155,4.2
Rana Saliba,General Surgery,Jounieh,Bellevue Medical Center,+9617205927,258,3.2
Jad Nassar,Cardiology,Zahle,Rafic Hariri Hospital,+9618667638,1058,4.7
Rami Awad,Internal Medicine,Baalbek,Mount Lebanon Hospital,+9613675542,1545,4.8
Maya Abou Jaoude,Urology,Baabda,Mount Lebanon Hospital,+9614906183,837,4.4
Rana Bou Khalil,Pulmonology,Nabatieh,Najjar Hospital,+9616701113,1076,4.5
Nour Nassar,Urology,Baalbek,LAU Medical Center,+9613753025,326,3.3
Jad Maalouf,Urology,Aley,Bellevue Medical Center,+9617411112,443,4.2
Nour Zein,ENT,Batroun,AUB Medical Center,+9613370113,722,3.1
Samir Abou Jaoude,Gastroenterology,Nabatieh,Bellevue Medical Center,+9614968916,1219,4.5
Karim Awad,Pulmonology,Baalbek,Mount Lebanon Hospital,+9618015412,1452,4.8
Marc Khoury,Pulmonology,Saida,Rafic Hariri Hospital,+9614101450,1654,4.0
Samir Bou Khalil,Internal Medicine,Baalbek,LAU Medical Center,+9618437474,1741,3.1
Nour Maalouf,Urology,Aley,Saint George Hospital,+9616127828,987,4.9
Elie Abou Jaoude,Internal Medicine,Zahle,Saint George Hospital,+9616016281,1487,4.6
